fPFA_L7A (66 entries), rawrms: 5.69231, rms90: 4.15331 (187.2-207.25), mean: 198.363, sigma: 0.296108+-0.0364484, sE/E: 2.96108+-0.364484
fPFA_0 (8 entries), rawrms: 4.49348, rms90: 4.49348 (-0.05-206.35), mean: 199.619, sigma: 0.318344+-0.112552, sE/E: 3.18344+-1.12552
fPFA_1 (5 entries), rawrms: 9.84509, rms90: 9.84509 (-0.05-207.25), mean: 196.905, sigma: 0.707095+-0.316223, sE/E: 7.07095+-3.16223
fPFA_2 (13 entries), rawrms: 5.81586, rms90: 4.64691 (184.4-204.15), mean: 198.363, sigma: 0.331299+-0.0918857, sE/E: 3.31299+-0.918857
fPFA_3 (7 entries), rawrms: 6.2425, rms90: 6.2425 (-0.05-205.3), mean: 194.461, sigma: 0.453985+-0.17159, sE/E: 4.53985+-1.7159
fPFA_4 (9 entries), rawrms: 3.91162, rms90: 3.91162 (-0.05-205.3), mean: 196.053, sigma: 0.282162+-0.0940541, sE/E: 2.82162+-0.940541
fPFA_5 (13 entries), rawrms: 4.91013, rms90: 3.67848 (184-203.35), mean: 196.771, sigma: 0.264377+-0.0733249, sE/E: 2.64377+-0.733249
fPFA_6 (11 entries), rawrms: 3.7604, rms90: 3.153 (-0.05-203.7), mean: 198.015, sigma: 0.225186+-0.067896, sE/E: 2.25186+-0.67896
fPFA_7 (10 entries), rawrms: 3.61907, rms90: 3.19423 (-0.05-204.25), mean: 200.231, sigma: 0.225606+-0.071343, sE/E: 2.25606+-0.71343
fPFA_8 (10 entries), rawrms: 4.45068, rms90: 4.25322 (-0.05-203.05), mean: 198.514, sigma: 0.302999+-0.0958168, sE/E: 3.02999+-0.958168
fPFA_10 (6 entries), rawrms: 11.9506, rms90: 11.9506 (-0.05-217.1), mean: 199.142, sigma: 0.848676+-0.346471, sE/E: 8.48676+-3.46471
